date,country,rating,verification,cleaned_reviews
2023-02-07,United Kingdom,5,verified,boarding delayed due late arrival incoming flight communication ground staff excellent keep informed flight service excellent crew friendly excellent service overall happy
2023-02-06,Spain,9,verified,first flight year also first time back england year flew pmi lgw returned wizz air easyjet offered inconvenient flight time charged flight worth baggage british airway convenient best value option available offered ideal flight time charge per flight baggage reasonable total cost flight regular update information via email seamless online seat allocation check efficient staff check desk pmi lgw ensured long queue dealt quickly humanly possible immaculate aircraft comfortable leather seat adequate legroom tall cabin crew polite friendly professional flight food drink good quality reasonably priced enjoyed meat ploughman ipa beer total flight flown time last year different airline various propeller jet aircraft well one lgw lhr helicopter transfer flying totally different experience back day age budget airline nostalgia aside british airway best airline flown
2023-02-04,United Kingdom,10,verified,husband flying madrid february legal matter madrid booked flight car holiday unfortunately chose parking never used got lost missed flight madrid tried stay calm cold head went british airway get help first lady spoke asked done booking holiday know gave number call told anything else call number called number asking call another number message opening hour till went back lady explained wait told could anything reach another staff lovely young lady called althea started look made several call went check someone else office managed get someone send text message call got answered lovely lady line modified booking place following flight charge car reservation flight back maintained made madrid without support lovely althea professionalism care would make sweet caring time determined help sure went beyond role responsibility
2023-01-31,United Kingdom,10,verified,organised boarding process really friendly crew quick drink snack great experience crew credit best crew europe
2023-01-31,United Kingdom,10,verified,outward journey london buenos aire club world january experience poor beginning end although reserved seat another passenger occupying crew made attempt address problem eventually persuaded passenger move occupy designated seat boarded punctually offered drink asked drink crew member said late blamed seating problem crew member began taking order dinner write gave minute safety briefing asked repeat order later hot flannel smelled musty felt old ragged one crew wondered aloud whether companion related soup cold told served flask explanation excuse coffee weak tasted like instant granule companion initially served bread roll dinner breakfast menu stated selection roll pastry choice companion given dried fruit pastry would chosen bread roll although previously asked offered supplied seat small bottle water ran return journey buenos aire london heathrow world traveller plus january huge contrast warm welcome boarding crew professionalism throughout poor reflection club world service experience world traveller plus much better kinder weighed advantage flat bed considerable price difference worth paying catalogue error inconvenience outlined
2023-01-28,United Kingdom,2,verified,check agent lhr helpful friendly flight crew seat comfortable good leg room however food poor barely better economy class poor quality limited selection wine flight entertainment selection limited far inferior used offer overall premium economy product disappointing poor value money
2023-01-28,United Kingdom,4,verified,disappointing book fly day return flight cancelled replaced flight took hour late meaning arrived gatwick well midnight onward transport connection pay taxi home plus seat really snug knee hitting seat front trading name customer service reliability deteriorated ryanair better aircraft take slot
2023-01-24,United Kingdom,3,verified,excellent service ground board first class product might leading edge service around entire experience well worth cost ticket concorde room heathrow well managed great place relax prior trip flight slightly delayed heathrow arrived schedule johannesburg
2023-01-24,United Kingdom,9,verified,good lounge cape town time departure drink high quality sound dinner service breakfast reasonable arrival lounge good shower cold
2023-01-23,United Kingdom,9,verified,really excellent journey lounge overcrowded late afternoon plenty edible food easy boarding new club world suite great compared last travelled year ago food drink back previous standard choice individual wine rather bland blend course served individually cut glass china beef cheek really tasty surprisingly good soup crew excellent good choice movie breakfast good night sleep fruit etc first manage full english offered arrival time could want quite gulf standard overall seems eventually got business class back standa
2023-01-21,United Kingdom,9,verified,flight one worst ever life wanted pamper bought business class looking forward new experience mention chaos changing gate several time thing may happen surprised lack attention passenger flight delayed almost hour even though staff offered voucher idea get told minute use boarding already begun firstly see anyone voucher secondly even got able use finally got airport another waiting minute cross check meantime told due problem load food flight without food board food offered given everyone plane small bag nut business class passenger offered drink business class contained small glass juice received apology compensation company disgraceful cheap service expensive price
2023-01-19,United States,2,not verified,verified seems race bottom amongst airline cannot even check requires submission document covid restriction however form start submission process hopelessly broken clicking submit form hang forever error message given tried three different browser three different device hang mean cannot check online select seat tried using chat bot minute clicking try thought donated enough time
2023-01-19,United Kingdom,3,not verified,verified spanish born individual living england using british airway decade multiple time year january booked flight son alicante however informed january doctor unable fly due elbow operation result decided give ticket daughter calling customer service team british airway make change january took enquiry call seemed speech delay call presented small bit difficulty however also struggled understand support staff member top delay requesting change name one ticket daughter name told within policy would need cancel ticket rebook encouraged divide booking son two different booking reference number accepted asked would like cancel booking insisted would need know total refund lucky ask check informed would roughly total cost booking come per passenger leaving refund total le value purchase despite seat abandoned according policy entitled simple change name le refund even buying ticket right back phone probably money worth week ago
2023-01-18,United Kingdom,2,verified,rather empty quiet flight tel aviv friendly cabin crew due emptiness flight entire row allowed work easily much space required unfortunately upon landing break overheated wait fire crew cool delayed otherwise overall excellent flight part first time flown flight actually taken correct time
2023-01-17,United Kingdom,9,verified,easy check staff member polite helpful made specific point acknowledging loyalty security london fast gallery north fine shower good organised flight boarding plane fine good crew new club world product wife damaged storage area otherwise take good drink food service well run slept well time arrival found new seat design harder sleep
2023-01-17,United Kingdom,9,verified,silver flyer booking flight dublin would thought could use lounge even though used air lingus flight travelled recently situation allowed kind gentleman desk even though said gold really accommodating big deal two lady desk like empathy saying guy let word come booked flight made fly air lingus let use lounge silver flier
2023-01-16,United Kingdom,1,not verified,verified find incredibly tacky constantly looking way get money customer travelled using major airline whole life although know sound silly hour flight major airline expect form beverage snack curtesy port charge phone pay insane price luggage inflight entertainment aircraft snug challenged pay drink inflight entertainment told short haul fight sister met cairo hour half flight flew egyptair somehow received luggage allowance drink food inflight entertainment well usb port charge phone realise stand budget airline staff great got money much
2023-01-09,United Kingdom,3,verified,flew atl lhr jan unlucky enough board year old refit gave decent ife screen seat looked decent although combine ife cheap nasty earbuds movie ruined headrest great pity little padding used seat wife uncomfortable leg room general poor especially passenger keep seat reclined start finish zero room aircraft tired rubber spacers falling silicone sealer falling apart toilet toilet seat old stained rubber arm rest hanging post take drink snack offered meal sent couple hour poor chicken cube reminded dog food mashed potato purified within inch life stale rock hard roll salad rice carrot dried cracker cheese kid meal sad tiny leaf salad enough dressing refloat shipwreck coffee creamer given kid meal snack decent adult bagel cheese egg hot tasty kid snack green wrap spinach onion poor mix food service grunt crammed seat hour landing remote stand enduring bus terminal opinion terrible flight disappointing one great member cabin crew everything else average
2023-01-08,United Kingdom,4,not verified,verified great thing british airway economy section upstairs get allows small stowage cupboard window seat despite old looked tired inside broken side stowage seat reclined uncontrollably slow react ife food supposed christmas dinner wafer thin bit dry turkey cooked sprout cubed potato poor taste quality mousse desert great though slight issue snack meal ordered child option marked regular meal arrived well exactly asked crew member told difference sticker box staff couple decent mostly overall seems tad cheap day great sit upstairs enjoyment ended seemed bit dull like average airline
2023-01-06,Canada,5,not verified,verified staff friendly plane cold shivering gave light blanket enough meal basic entertainment basic luggage delayed today day staff phone say call hour tracking system vague extract information staff arrived vancouver jan offered collect baggage vague answer call airport asked phone number yvr said phone number call call main airport policy state make claim day
2023-01-02,United States,1,verified,probably worst business class experience ever airline issue required purchase seat international club world business class made known ticket purchase process cost additional single leg lhr lax family four given strange business class seating layout leaving seat selection change could disastrous family ridiculously long boarding time even small aircraft vie lhr leg boarding time minute long leading delayed departure urgency part staff speed boarding time severe overcrowding boarding area satellite terminal heathrow boarding staff would allow passenger enter roped queue area boarding idea crowding extreme overall boarding area far small believe satellite designed built first delivered online check advance flight appears completely broken urged repeatedly website via email text upload covid document even though end covid document required travel filled basic contact information website upload covid documentation informed several hour later covid document verified received another text message urging upload covid documentation vie lhr leg shop com page one directed attempting connect wifi plane indicated ridiculously incorrect remaining flight time six hour four hour landing lounge club europe club world heathrow often seriously overcrowded furniture carpeting finish club worn dirty said food lounge pretty good quality food quality lounge heathrow may redeeming thing airline onboard food beverage service far average international business class terrible one might say lhr lax leg pre meal beverage service mid flight beverage service unlike business class offering airline taking meal order flight attendant beginning flight meal brought haphazardly shortly take chicken fish type meal selection similar economy class coffee tea service meal food quality poor pre landing snack ploughman lunch downright disgusting beverage bar set galley area beverage available passenger flight standard international business class offering even bottle water seemed hidden away requiring one ask flight attendant water comment bizarre seating layout others rightly panned awkwardness extremely poor design seating seat long stated website found seat short height priority luggage tag followed baggage delivery
2023-01-02,United States,1,verified,definitely recommended especially business class seat ridiculous small food mediocre good luck internet even pay full internet entire flight service however great attendant saved cry know designed aircraft expensive business class order move middle seat bathroom must rudely climb person leg sitting aisle seat seat like enclosed tiny cubicle storage space unfortunately traveled british airway business class least time within last month never unless choice way business class lounge south heathrow cattle pen
2023-01-02,United Kingdom,2,verified,shuttle service across still surprisingly good product compared long haul always get best comment time reasonable priced work well fresh crew queue long distance walk know still offer covid style bottle water snack stretching cup tea snack would great add service currently line sky cafe fiddly work get connected short trip
